mmsi,imo,name,destination,fleet_source
273342180,9683738,LADY SEVDA,,GUR_Russia
273450880,9203710,SV KONSTANTIN,,GUR_Russia
273215770,9482926,SV NIKOLAY,,GUR_Russia
378314000,9594339,LENA,,GUR_Russia
273380810,9617923,MARIA E,,GUR_Russia
273394890,9160994,SPARTA II,,GUR_Russia
273355410,8807416,AMBAL,,GUR_Russia
273413510,8814354,PIZHMA,,GUR_Russia
273389870,9268710,SPARTA,,GUR_Russia
273396130,9538892,URSA MAJOR,,GUR_Russia
273413440,9743033,SPARTA IV,,GUR_Russia
273336790,8858087,SKIF-V,,GUR_Russia
533132675,1011202,NIRVANA,,GUR_Russia
273255820,9339301,LIPETSK,,GUR_Russia
613429702,8315499,COMETA,,GUR_Russia
273398330,9116632,POLAR ROCK,,GUR_Russia
273456410,8834691,PROFESSOR LOGACHEV,,GUR_Russia
273392760,9187514,AKADEMIK PRIMAKOV,,GUR_Russia
273457600,8504923,PROFESSOR RYABINKIN,,GUR_Russia
273454600,8409032,ORDOVIK,,GUR_Russia
273450600,8408985,AKADEMIK LAZAREV,,GUR_Russia
273418880,9797577,BAKHTEMIR,,GUR_Russia
273392360,9572020,BALTIYSKIY ISSLEDOVATEL,,GUR_Russia
273212470,9272412,FINVAL,,GUR_Russia
273413540,9624213,IVAN SIDORENKO,,GUR_Russia
273451820,8724080,KAPITAN BEKLEMISHEV,,GUR_Russia
273299220,9396854,LAMANTIN,,GUR_Russia
273370640,9682423,MURMAN,,GUR_Russia
273417870,9171876,NARVAL,,GUR_Russia
273459710,9624225,OSTAP SHEREMETA,,GUR_Russia
273418870,9157820,SIVUCH,,GUR_Russia
273357360,9497531,SPASATEL KAREV,,GUR_Russia
273397740,9171620,UMKA,,GUR_Russia
273312530,9310018,ANTEY,,GUR_Russia
273319940,9338230,HERMES,,GUR_Russia
273395690,8674156,FIONA,,GUR_Russia
273377120,9690224,MARSHAL ZHUKOV,,GUR_Russia
273313020,9025778,NORD,,GUR_Russia
273440080,8523242,PASSAT,,GUR_Russia
273340190,9735335,SIG,,GUR_Russia
273340640,9690212,STALINGRAD,,GUR_Russia
273445150,8943155,SUDAK,,GUR_Russia
273342890,9735323,YAZ,,GUR_Russia
533132399,1010648,SEA RHAPSODY,,GUR_Russia
671555100,9385233,BAYAZE D,,GUR_Russia
669513000,9274331,SAN DAMIAN,,GUR_Russia
273353660,8846814,MUSA JALIL,,GUR_Russia
273421560,8943210,BEGEY,,GUR_Russia
273437300,8889385,OMSKIY-103,,GUR_Russia
273456690,8611221,NADEZHDA,,GUR_Russia
273311460,8948167,MEZHDURECHENSK,,GUR_Russia
613101900,7919781,USKO MFU,,GUR_Russia
273254900,9720263,ZAFAR,,GUR_Russia
273251900,9715270,ZAID,,GUR_Russia
273611180,9419084,IRKUTSK,,GUR_Russia
273272340,9256602,ARCTIC PIONEER,,GUR_Russia
273278330,9216298,ARCTIC VOSTOK,,GUR_Russia
273294380,9431977,FEDOR,,GUR_Russia
273268340,9953523,IRIS,,GUR_Russia
273262840,9243148,ARCTIC METAGAZ,,GUR_Russia
273264340,9953509,BURAN,,GUR_Russia
273265340,9953511,VOSKHOD,,GUR_Russia
273267340,9953535,ZARYA,,GUR_Russia
273297880,9550137,MATROS KOSHKA,,GUR_Russia
273318940,9385879,GRUMANT,,GUR_Russia
273292290,9515539,MIKHAIL NENASHEV,,GUR_Russia
273611850,9574195,MATROS SHEVCHENKO,,GUR_Russia
273292990,9573816,MATROS POZYNICH,,GUR_Russia
620842000,8915299,DAMAS WAVE,,GUR_Russia
306002000,9324277,NOVA ENERGY,,GUR_Russia
273260840,9864837,ARCTIC MULAN,,GUR_Russia
273611740,9296781,KRASNODAR,,GUR_Russia
636093240,9955894,ROSTUM HEDONIST,,GUR_Russia
352001900,9114476,BOMUSTAFA O,,GUR_Russia
273387810,8647866,LAVRENTIOS,,GUR_Russia
273383610,9077563,KAPITAN MIRONOV,,GUR_Russia
273371920,9481910,PORT OLYA-3,,GUR_Russia
